"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
3	"C12H13N3O7S"	"[M + H]+"	"C12H14N3O7S+"	"Amino acids and Peptides"	0.888	"Small peptides"	0.208	"Cephalosporins"	0.141	"Benzenoids"	0.833	"Benzene and substituted derivatives"	0.803	"Nitrobenzenes"	0.866	NA	NA	"Nitrobenzenes"	0.866	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Nitrobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities"	344.054	178	2.967	707666856893631872	707666513174592384	556	NA	556
1	"C24H41N3O4"	"[M + H3N + H]+"	"C24H45N4O4+"	"Amino acids and Peptides"	0.955	"Small peptides"	0.817	"Tripeptides"	0.456	"Organic acids and derivatives"	0.996	"Carboxylic acids and derivatives"	0.991	"Amino acids, peptides, and analogues"	0.884	"Peptides"	0.572	"Dipeptides"	0.531	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"	453.344	179	2.982	707666829412548992	707666513199758208	557	NA	557
2	"C21H20O10"	"[M + H]+"	"C21H21O10+"	"Shikimates and Phenylpropanoids"	1	"Flavonoids"	0.996	"Flavonols"	0.938	"Phenylpropanoids and polyketides"	0.998	"Flavonoids"	0.992	"Flavonoid glycosides"	0.992	"Flavonoid O-glycosides"	0.994	"Flavonoid-3-O-glycosides"	0.92	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	433.114	179	2.989	707666822982680320	707666513241701248	559	NA	559
2	"C27H30O14"	"[M + H]+"	"C27H31O14+"	"Shikimates and Phenylpropanoids"	1	"Flavonoids"	0.998	"Flavonols"	0.978	"Phenylpropanoids and polyketides"	1	"Flavonoids"	0.996	"Flavonoid glycosides"	0.997	"Flavonoid O-glycosides"	0.998	"Flavonoid-3-O-glycosides"	0.957	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Flavonoid-7-O-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	579.171	179	2.989	707666843077592832	707666513262672768	560	NA	560
1	"C15H12O7"	"[M - H2O + H]+"	"C15H11O6+"	"Shikimates and Phenylpropanoids"	0.999	"Flavonoids"	0.994	"Flavonols"	0.881	"Phenylpropanoids and polyketides"	0.979	"Flavonoids"	0.976	"Flavones"	0.844	"Flavonols"	0.764	"Flavonols"	0.764	"Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Catechols; Chromones; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonols; Benzenediols; Flavones; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	287.055	179	2.989	707666855949913344	707666513220729728	558	NA	558
1	"C20H34N4O7"	"[M + H3N + H]+"	"C20H38N5O7+"	"Amino acids and Peptides"	0.81	"Oligopeptides"	0.638	"Cyclic peptides"	0.493	"Organic acids and derivatives"	0.949	"Carboxylic acids and derivatives"	0.905	"Carboxylic acid derivatives"	0.867	"Carboxylic acid amides"	0.812	"Secondary carboxylic acid amides"	0.628	"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	460.276	180	2.998	707666839193666944	707666513287838592	561	NA	561
2	"C9H17NOS"	"[M + H]+"	"C9H18NOS+"	"Fatty acids"	0.422	"Monoterpenoids"	0.032	"Primary amides"	0.042	"Organosulfur compounds"	0.999	"Sulfoxides"	0.966	NA	NA	NA	NA	"Sulfoxides"	0.966	"Organic compounds; Organosulfur compounds; Organonitrogen compounds; Nitriles; Sulfoxides; Sulfinyl compounds; Organic oxides; Hydrocarbon derivatives; Organic cyanides; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	188.111	180	3.001	707666826015162496	707666513354947456	564	NA	564
1	"C11H21NOS"	"[M + H3N + H]+"	"C11H25N2OS+"	"Terpenoids"	0.597	"Monoterpenoids"	0.764	"Menthane monoterpenoids"	0.238	"Organosulfur compounds"	0.929	"Sulfoxides"	0.666	NA	NA	NA	NA	"Sulfoxides"	0.666	"Organic compounds; Organosulfur compounds; Organonitrogen compounds; Sulfoxides; Sulfinyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	233.168	180	3.001	707666837125874688	707666513329781632	563	NA	563
1	"C11H14FNO3"	"[M - H2O + H]+"	"C11H13FNO2+"	"Alkaloids"	0.391	"Small peptides"	0.119	"Aminoacids"	0.03	"Benzenoids"	0.925	"Benzene and substituted derivatives"	0.961	"Benzoic acids and derivatives"	0.552	"Halobenzoic acids and derivatives"	0.557	"Halobenzoic acids and derivatives"	0.557	"Organic compounds; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Anilides; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Halobenzoic acids and derivatives; N-arylamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	210.093	180	3.001	707666841353733760	707666513308810112	562	NA	562
1	"C8H10"	"[M + H3N + H]+"	"C8H14N+"	"Fatty acids"	0.845	"Fatty acyls"	0.848	"Hydrocarbons"	0.267	"Hydrocarbons"	0.993	"Unsaturated hydrocarbons"	0.955	"Acetylenes"	0.523	NA	NA	"Acetylenes"	0.523	"Organic compounds; Hydrocarbons; Olefins; Acetylenes; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Chemical entities"	124.112	180	3.002	707666841324373632	707666513375918976	565	NA	565
1	"C22H33N3O4S"	"[M + H3N + H]+"	"C22H37N4O4S+"	"Amino acids and Peptides"	0.436	"Oligopeptides"	0.121	"Menthane monoterpenoids"	0.035	"Benzenoids"	0.723	"Benzene and substituted derivatives"	0.626	NA	NA	NA	NA	"Benzene and substituted derivatives"	0.626	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	453.252	181	3.015	707666832235315840	707666513430444928	566	NA	566
3	"C20H44O11Si"	"[M + H3N + H]+"	"C20H48NO11Si+"	"Fatty acids"	0.915	"Fatty acyls"	0.261	"Fatty alcohols"	0.365	"Organic oxygen compounds"	0.998	"Organooxygen compounds"	0.997	"Carbohydrates and carbohydrate conjugates"	0.753	"Monosaccharides"	0.555	"Monosaccharides"	0.555	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Monosaccharides; Acetals; Secondary alcohols; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	506.3	181	3.015	707666849964640896	707666513455610752	567	NA	567
1	"C2H7NO3S2"	"[M - H2O + H]+"	"C2H6NO2S2+"	"Fatty acids"	0.871	"Fatty amides"	0.14	"N-acyl amines"	0.084	"Organic acids and derivatives"	0.996	"Carboxylic acids and derivatives"	0.835	"Carboxylic acid derivatives"	0.773	"Carboxylic acid amides"	0.802	"Acetamides"	0.824	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	139.983	181	3.023	707666822496141056	707666513480776576	568	NA	568
1	"C9H16O3Si"	"[M + H3N + H]+"	"C9H20NO3Si+"	"Fatty acids"	0.805	"Fatty Acids and Conjugates"	0.355	"Halogenated fatty acids"	0.361	"Organic acids and derivatives"	0.573	"Carboxylic acids and derivatives"	0.511	NA	NA	NA	NA	"Carboxylic acids and derivatives"	0.511	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	218.121	182	3.033	707666837465613440	707666513505942400	569	NA	569
1	"C27H50N4O10"	"[M + H3N + H]+"	"C27H54N5O10+"	"Alkaloids"	0.415	"Oligopeptides"	0.344	"Cyclic peptides"	0.089	"Organic oxygen compounds"	1	"Organooxygen compounds"	0.998	"Ethers"	0.908	"Dialkyl ethers"	0.937	"Polyethylene glycols"	0.53	"Organic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Polyethylene glycols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	608.386	182	3.038	707666848358222336	707666513531108224	570	NA	570
1	"C26H54O14"	"[M + H]+"	"C26H55O14+"	"Fatty acids"	0.849	"Fatty acyls"	0.517	"Fatty alcohols"	0.436	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Ethers"	0.994	"Dialkyl ethers"	0.994	"Polyethylene glycols"	0.997	"Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	591.36	182	3.038	707666858755903104	707666513552079744	571	NA	571
1	"C18H26O11"	"[M + H3N + H]+"	"C18H30NO11+"	"Terpenoids"	0.929	"Monoterpenoids"	0.914	"Iridoids monoterpenoids"	0.659	"Lipids and lipid-like molecules"	0.638	"Prenol lipids"	0.562	"Terpene glycosides"	0.547	NA	NA	"Terpene glycosides"	0.547	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Polyols; Methyl esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	436.182	184	3.06	707666842989512448	707666513602411392	573	NA	573
1	"C18H26O11"	"[M + Na]+"	"C18H26NaO11+"	"Terpenoids"	0.412	"Monoterpenoids"	0.491	"Iridoids monoterpenoids"	0.258	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	0.988	"Monosaccharides"	0.843	"Hexoses"	0.506	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	441.137	184	3.072	707666855815695616	707666513623382912	574	NA	574
1	"C3H4N2O7"	"[M - H2O + H]+"	"C3H3N2O6+"	"Fatty acids"	0.348	"Fatty Acids and Conjugates"	0.629	"Halogenated fatty acids"	0.752	"Organic 1,3-dipolar compounds"	0.733	"Allyl-type 1,3-dipolar organic compounds"	0.675	"Organic nitro compounds"	0.696	"C-nitro compounds"	0.565	"C-nitro compounds"	0.565	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	162.998	184	3.073	707666850748975872	707666513577245568	572	NA	572
1	"C8H16S"	"[M + H3N + H]+"	"C8H20NS+"	"Fatty acids"	0.95	"Fatty acyls"	0.86	"Thia fatty acids"	0.396	"Organosulfur compounds"	0.997	"Thioethers"	0.872	"Dialkylthioethers"	0.917	NA	NA	"Dialkylthioethers"	0.917	"Organic compounds; Organosulfur compounds; Thioethers; Sulfenyl compounds; Dialkylthioethers; Hydrocarbon derivatives; Chemical entities"	162.131	184	3.074	707666826174546048	707666513673714560	576	NA	576
2	"C30H55N5O5"	"[M + H]+"	"C30H56N5O5+"	"Amino acids and Peptides"	0.987	"Small peptides"	0.67	"Tripeptides"	0.583	"Organic acids and derivatives"	0.998	"Carboxylic acids and derivatives"	0.994	"Amino acids, peptides, and analogues"	0.966	"Peptides"	0.796	"Peptides"	0.796	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	566.428	185	3.076	707666840972052096	707666513719851904	578	NA	578
1	"C10H18O3S"	"[M + H3N + H]+"	"C10H22NO3S+"	"Fatty acids"	0.843	"Fatty Acids and Conjugates"	0.72	"Thia fatty acids"	0.648	"Lipids and lipid-like molecules"	0.532	"Fatty Acyls"	0.508	"Fatty acids and conjugates"	0.542	NA	NA	"Fatty acids and conjugates"	0.542	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	236.132	185	3.079	707666835024528256	707666513765989376	580	NA	580
3	"C9H17NO2S"	"[M + H]+"	"C9H18NO2S+"	"Terpenoids"	0.23	"Pseudoalkaloids (transamidation)"	0.105	"Aminoacids"	0.016	"Organosulfur compounds"	0.998	"Sulfonyls"	0.99	"Sulfones"	0.986	NA	NA	"Sulfones"	0.986	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Sulfones; Sulfonyls; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	204.106	185	3.079	707666852833545216	707666513745017856	579	NA	579
2	"C8H12O4"	"[M + H]+"	"C8H13O4+"	"Fatty acids"	0.962	"Fatty Acids and Conjugates"	0.6	"Dicarboxylic acids"	0.569	"Organic acids and derivatives"	0.986	"Carboxylic acids and derivatives"	0.978	"Dicarboxylic acids and derivatives"	0.63	NA	NA	"Dicarboxylic acids and derivatives"	0.63	"Organic compounds; Organoheterocyclic compounds; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	173.081	185	3.081	707666832969319168	707666513854069760	584	NA	584
1	"C4H7Cl2NO"	"[M - H2O + H]+"	"C4H6Cl2N+"	"Fatty acids"	0.94	"Fatty Acids and Conjugates"	0.335	"Halogenated fatty acids"	0.972	"Organic acids and derivatives"	0.95	"Carboxylic acids and derivatives"	0.907	"Carboxylic acid derivatives"	0.826	"Carboxylic acid amides"	0.856	"Secondary carboxylic acid amides"	0.689	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	137.988	185	3.082	707666854381243520	707666513698880384	577	NA	577
2	"C10H16O5"	"[M + H]+"	"C10H17O5+"	"Fatty acids"	0.914	"Fatty esters"	0.758	"Lactones"	0.524	"Organic acids and derivatives"	0.996	"Carboxylic acids and derivatives"	0.996	"Dicarboxylic acids and derivatives"	0.701	NA	NA	"Dicarboxylic acids and derivatives"	0.701	"Organic compounds; Organoheterocyclic compounds; Lactones; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	217.107	185	3.083	707666824312274816	707666513791155200	581	NA	581
1	"C11H22O2"	"[M + H3N + H]+"	"C11H26NO2+"	"Fatty acids"	0.936	"Fatty acyls"	0.654	"Fatty alcohols"	0.536	"Lipids and lipid-like molecules"	0.703	"Fatty Acyls"	0.655	NA	NA	NA	NA	"Fatty Acyls"	0.655	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	204.196	185	3.083	707666849268386432	707666513812126720	582	NA	582
1	"C10H16O5"	"[M + H3N + H]+"	"C10H20NO5+"	"Fatty acids"	0.931	"Fatty esters"	0.785	"Lactones"	0.238	"Organic acids and derivatives"	0.994	"Carboxylic acids and derivatives"	0.994	"Dicarboxylic acids and derivatives"	0.695	NA	NA	"Dicarboxylic acids and derivatives"	0.695	"Organic compounds; Organoheterocyclic compounds; Lactones; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	234.134	185	3.084	707666825184690176	707666513833098240	583	NA	583
4	"C8H14O7"	"[M + H3N + H]+"	"C8H18NO7+"	"Carbohydrates"	0.98	"Saccharides"	0.951	"Monosaccharides"	0.68	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	0.954	"Monosaccharides"	0.902	"Hexoses"	0.511	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	240.108	185	3.087	707666852636412928	707666513879235584	585	NA	585
3	"C6H11NOS2"	"[M + H]+"	"C6H12NOS2+"	"Fatty acids"	0.422	"Fatty acyls"	0.013	"Primary amides"	0.025	"Organosulfur compounds"	1	"Isothiocyanates"	0.999	NA	NA	NA	NA	"Isothiocyanates"	0.999	"Organic compounds; Organosulfur compounds; Organonitrogen compounds; Sulfoxides; Isothiocyanates; Sulfinyl compounds; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	178.036	185	3.091	707666824459075456	707666513925372928	587	NA	587
1	"C10H16O4"	"[M + Na]+"	"C10H16NaO4+"	"Fatty acids"	0.631	"Macrolides"	0.238	"Macrolide lactones"	0.383	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Alcohols and polyols"	0.677	"Secondary alcohols"	0.516	"Secondary alcohols"	0.516	"Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	223.094	185	3.091	707666852388948864	707666513950538752	588	NA	588
2	"C12H14O5"	"[M + H]+"	"C12H15O5+"	"Shikimates and Phenylpropanoids"	0.872	"Phenylpropanoids (C6-C3)"	0.957	"Cinnamic acids and derivatives"	0.961	"Phenylpropanoids and polyketides"	0.63	"Cinnamic acids and derivatives"	0.655	"Cinnamic acid esters"	0.697	NA	NA	"Cinnamic acid esters"	0.697	"Organic compounds; Lipids and lipid-like molecules; Styrenes; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Methyl esters; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	239.089	186	3.096	707666851608808320	707666513975704576	589	NA	589
1	"C2H7NO3S2"	"[M - H2O + H]+"	"C2H6NO2S2+"	"Fatty acids"	0.602	"Small peptides"	0.347	"Aminoacids"	0.372	"Organic acids and derivatives"	0.961	"Sulfinic acids and derivatives"	0.507	"Alkanesulfinic acids and derivatives"	0.52	"Alkanesulfinic acids"	0.525	"Alkanesulfinic acids"	0.525	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Sulfinic acids and derivatives; Organonitrogen compounds; Sulfenyl compounds; Alkanesulfinic acids and derivatives; Alkanesulfinic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	139.983	186	3.101	707666844168112128	707666514390940672	607	NA	607
2	"C23H46O10S"	"[M - H2O + H]+"	"C23H45O9S+"	"Fatty acids"	0.704	"Fatty Acids and Conjugates"	0.475	"Thia fatty acids"	0.059	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Ethers"	0.856	"Dialkyl ethers"	0.84	"Dialkyl ethers"	0.84	"Organic compounds; Organosulfur compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Thioethers; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	497.278	187	3.11	707666852112124800	707666514000870400	590	NA	590
3	"C23H44N4O8Si"	"[M + H3N + H]+"	"C23H48N5O8Si+"	"Carbohydrates"	0.424	"Small peptides"	0.182	"N-acyl amines"	0.258	"Organic oxygen compounds"	0.997	"Organooxygen compounds"	0.984	"Ethers"	0.747	"Dialkyl ethers"	0.662	"Dialkyl ethers"	0.662	"Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Organometallic compounds; Dialkyl ethers; Organometalloid compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	550.326	187	3.111	707666849205471744	707666514026036224	591	NA	591
