feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_overallFeatureQuality
797	GSZOBNYJBUYQPE	sirius	CCCC(C(C(C(CO)O)OC1C(C(C(C(O1)CO)O)OC2(CC(C(C(O2)C(C(CO)O)O)NC(=O)C)O)C(=O)NCC#C)O)O)O																																																																																												1.0	10.0	0.2	0.2	-208.713	0.02	0.012	65.811	C28H48N2O17	[M + H]+	C28H49N2O17+	InChI=1S/C28H48N2O17/c1-4-6-13(35)19(39)23(16(38)10-32)45-26-22(42)25(21(41)17(11-33)44-26)47-28(27(43)29-7-5-2)8-14(36)18(30-12(3)34)24(46-28)20(40)15(37)9-31/h2,13-26,31-33,35-42H,4,6-11H2,1,3H3,(H,29,43)(H,30,34)	(2S,4R,5R)-5-acetamido-2-[(3S,4S,6S)-3,5-dihydroxy-2-(hydroxymethyl)-6-[(3R,4R)-1,2,4,5-tetrahydroxyoctan-3-yl]oxyoxan-4-yl]oxy-4-hydroxy-N-prop-2-ynyl-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxamide	CCCC(C(C(C(CO)O)OC1C(C(C(C(O1)CO)O)OC2(CC(C(C(O2)C(C(CO)O)O)NC(=O)C)O)C(=O)NCC#C)O)O)O	-5.9	157669802	PUBCHEM:(157669802)	2.0	685.305	254.0	4.229	7.076668879650394e+17	7.076665187572119e+17	
797	HUXSMOZWPXDRTN	isdb	C=CC1=C(C)C2=NC1=CC1=NC(=CC3=C(C)C4=C(O)[C@H](C(=O)OC)C(=C5NC(=C2)[C@@H](C)[C@@H]5CCC(=O)OC)C4=N3)C(CC)=C1C																																													262.0	Alkaloids	0.25					1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104399795	HUXSMOZWPXDRTN-SDHKEVEOSA-N	InChI=1S/C36H38N4O5/c1-9-20-16(3)23-13-25-18(5)22(11-12-29(41)44-7)33(39-25)31-32(36(43)45-8)35(42)30-19(6)26(40-34(30)31)15-28-21(10-2)17(4)24(38-28)14-27(20)37-23/h9,13-15,18,22,32,39,42H,1,10-12H2,2-8H3/t18-,22-,32+/m0/s1	C=CC1=C(C)C2=NC1=CC1=NC(=CC3=C(C)C4=C(O)[C@H](C(=O)OC)C(=C5NC(=C2)[C@@H](C)[C@@H]5CCC(=O)OC)C4=N3)C(CC)=C1C	C36H38N4O5	pos_1_1proton1dmso	606.284220316	Methyl pheophorbide a	Alkaloids			http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']	9.0	1.0	9.5	1.0																								
797	QIOMMMCQFIBVKA	gnps	C=C1CC[C@@H]2[C@@](C)(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)CC[C@@]2(C)[C@@H]1CC/C(C)=C/CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	CCMSLIB00004707786	spectra_filtered.mgf	MONA.mgf	0.721845	511262.0	0.0	22.3543	20.0	0.0153198	685.305	1.0	temp/spectra_filtered.mgf797	1.0	(2R,3R,4S,5S,6R)-2-[(E)-5-[(1R,4aS,5S,6R,8aS)-6-hydroxy-5,8a-dimethyl-2-methylidene-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-3-methylpent-2-enoxy]-6-(hydroxymethyl)oxane-3,4,5-triol		ESI-QFT	isolated	MoNA	MoNA:VF-NPL-QEHF016723	[M+K]+	685.32	0.0	1.0			C=C1CC[C@@H]2[C@@](C)(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)CC[C@@]2(C)[C@@H]1CC/C(C)=C/CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C32H54O13/c1-16(10-12-42-29-27(40)25(38)23(36)19(13-33)44-29)5-7-18-17(2)6-8-21-31(18,3)11-9-22(35)32(21,4)15-43-30-28(41)26(39)24(37)20(14-34)45-30/h10,18-30,33-41H,2,5-9,11-15H2,1,3-4H3/b16-10+/t18-,19-,20-,21+,22-,23-,24-,25+,26+,27-,28-,29-,30-,31+,32-/m1/s1		3.0	positive	MONA	685.32	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C32H54O13	QIOMMMCQFIBVKA-PPQBIMEKSA-N	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Diterpenoids	Labdane diterpenoids	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004707786																																																																							
798	CTASSTCAVUQMJI	isdb	CC(=O)O[C@H]1C[C@@H](OC(C)=O)[C@]2(C)CC=C(C(C)C)C[C@H]2[C@@]1(C)O																																													113.0	Terpenoids	1.0	Sesquiterpenoids	1.0	Eudesmane sesquiterpenoids	1.0	3.0	0.632166	ISDB	http://www.wikidata.org/entity/Q104969676	CTASSTCAVUQMJI-UJWQCDCRSA-N	InChI=1S/C19H30O5/c1-11(2)14-7-8-18(5)15(9-14)19(6,22)17(24-13(4)21)10-16(18)23-12(3)20/h7,11,15-17,22H,8-10H2,1-6H3/t15-,16-,17+,18-,19-/m1/s1	CC(=O)O[C@H]1C[C@@H](OC(C)=O)[C@]2(C)CC=C(C(C)C)C[C@H]2[C@@]1(C)O	C19H30O5		338.20932406	[(1R,3S,4R,4aR,8aR)-3-acetyloxy-4-hydroxy-4,8a-dimethyl-6-propan-2-yl-1,2,3,4a,5,8-hexahydronaphthalen-1-yl] acetate	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q1547224	Pallenis spinosa	245301.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Inuleae']	['Pallenis']	['Pallenis spinosa']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4.0	3.0	8.028664112091064	1.0																								
798	JGPMMRGNQUBGND	sirius	CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO																																																																																												1.0	1.0	0.142	0.142	-169.084	0.999	0.5	203.461	C19H30O5	[M + H]+	C19H31O5+	InChI=1S/C19H30O5/c1-14-15(12-10-8-6-4-5-7-9-11-13-20)17(22)19(24-3)18(23-2)16(14)21/h20H,4-13H2,1-3H3	2-(10-hydroxydecyl)-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione	CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO	4.3	3686;451219;46781938;72710864;72943406;72943407;72943408;72943409;72943410;72943411;72943412;72943532;72943531;72943533;72943534;72943535;72943536;72943662;72943663;72943664;72943665;72943666;72943667;72943791;72943788;72943789;72943790;72943792;72943793;72943896;72943897;72943898;72943899;72943900;72943901;72944008;72944009;72944010;72944011;72944012;72944013;72944122;72944123;72944124;72944125;72944126;72944127;72944234;72944235;72944236;72944237;72944238;72944239;72944344;72944345;72944346;72944347;72944348;72944448;72944445;72944446;72944447;72944449;72944555;72944556;72944557;72944558;72944666;72944667;72944668;72944669;72944772;72944773	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0211695);HMDB:(HMDB0253376);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(3686);CHEBI:(31687);SUPERNATURAL:(SN0164945);MESH:(3686);PUBCHEM:(3686 451219 46781938 72710864 72943406 72943407 72943408 72943409 72943410 72943411 72943412 72943532 72943531 72943533 72943534 72943535 72943536 72943662 72943663 72943664 72943665 72943666 72943667 72943791 72943788 72943789 72943790 72943792 72943793 72943896 72943897 72943898 72943899 72943900 72943901 72944008 72944009 72944010 72944011 72944012 72944013 72944122 72944123 72944124 72944125 72944126 72944127 72944234 72944235 72944236 72944237 72944238 72944239 72944344 72944345 72944346 72944347 72944348 72944448 72944445 72944446 72944447 72944449 72944555 72944556 72944557 72944558 72944666 72944667 72944668 72944669 72944772 72944773);DSSTox:(DTXSID0040678);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563734126.0	339.217	254.0	4.229	7.076668653451553e+17	7.076665187781834e+17	
799	FRRHLQYEWMQTLF	sirius	C1=CC(=O)N(C1=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O																																																																																												1.0	1.0	0.009	0.009	-273.775	0.377	0.332	138.06	C31H55NO16	[M - H2O + H]+	C31H54NO15+	InChI=1S/C31H55NO16/c33-29-1-2-30(34)32(29)4-6-38-8-10-40-12-14-42-16-18-44-20-22-46-24-26-48-28-27-47-25-23-45-21-19-43-17-15-41-13-11-39-9-7-37-5-3-31(35)36/h1-2H,3-28H2,(H,35,36)	Mal-PEG12-acid	C1=CC(=O)N(C1=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O	-1.94	89771199	PUBCHEM:(89771199)	2.0	680.35	254.0	4.229	7.076668804782058e+17	7.076665188033492e+17	
800	PROQIPRRNZUXQM	isdb	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O																																													113.0	Terpenoids	1.0	Sesquiterpenoids	1.0	Eudesmane sesquiterpenoids	1.0	98.0	0.0	MS1_match	http://www.wikidata.org/entity/Q409721	PROQIPRRNZUXQM-ZXXIGWHRSA-N	InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3/t13-,14-,15+,16-,17+,18+/m1/s1	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O	C18H24O3	pos_1_1proton1methanol	288.172544628	Estriol	Terpenoids	Steroids	Estrane steroids	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']	9.0	1.0	9.5	1.0																								
800	YAALSDMLSCGTLS	sirius	CCC=CCC1=C(C(CC1=O)OC)CCCCC2CCC(=O)O2																																																																																												1.0	1.0	0.25	0.25	-160.942	1.0	0.5	219.084	C19H28O4	[M + H]+	C19H29O4+	InChI=1S/C19H28O4/c1-3-4-5-9-15-16(18(22-2)13-17(15)20)10-7-6-8-14-11-12-19(21)23-14/h4-5,14,18H,3,6-13H2,1-2H3		CCC=CCC1=C(C(CC1=O)OC)CCCCC2CCC(=O)O2	2.8	51694404;51694405;51694406;51694407;75130922;45783182	COCONUT:(CNP0475342);SUPERNATURAL:(SN0444698);PUBCHEM:(51694404 51694405 51694406 51694407 75130922 45783182)	3145730.0	321.206	254.0	4.23	7.076668690151717e+17	7.076665188243208e+17	
801	QIPOUSKNIMYTRA	sirius	C=CC(=O)OCC(COCCCCOCC(COC(=O)C=C)O)O																																																																																												1.0	1.0	0.05	0.05	-145.607	1.0	0.333	76.119	C16H26O8	[M + H3N + H]+	C16H30NO8+	InChI=1S/C16H26O8/c1-3-15(19)23-11-13(17)9-21-7-5-6-8-22-10-14(18)12-24-16(20)4-2/h3-4,13-14,17-18H,1-2,5-12H2	[(2S)-2-hydroxy-3-[4-[(2R)-2-hydroxy-3-prop-2-enoyloxypropoxy]butoxy]propyl] prop-2-enoate	C=CC(=O)OCC(COCCCCOCC(COC(=O)C=C)O)O	0.4	92256115;92256119;92855093;103631	NORMAN:(NS00003160);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(92256115 92256119 92855093 103631);DSSTox:(DTXSID30866257)	137506324482.0	364.197	254.0	4.236	7.076669030771181e+17	7.076665188452923e+17	
802	FFLUVDOEJBDSSD	isdb	C=C[C@@](C)(O)CC/C=C(\CO)C(=O)O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]1C																																													144.0	Terpenoids	0.375	Monoterpenoids	0.25	Acyclic monoterpenoids	0.25	1.0	0.34502926	ISDB	http://www.wikidata.org/entity/Q104994547	FFLUVDOEJBDSSD-UQJHCOJBSA-N	InChI=1S/C16H26O8/c1-4-16(3,22)7-5-6-10(8-17)14(20)24-13-9(2)23-15(21)12(19)11(13)18/h4,6,9,11-13,15,17-19,21-22H,1,5,7-8H2,2-3H3/b10-6+/t9-,11-,12-,13-,15+,16-/m1/s1	C=C[C@@](C)(O)CC/C=C(\CO)C(=O)O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]1C	C16H26O8		346.162767792	[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-methyloxan-3-yl] (2E,6S)-6-hydroxy-2-(hydroxymethyl)-6-methylocta-2,7-dienoate	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	http://www.wikidata.org/entity/Q2119520	Elelea concinna	3387469.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Coleoptera']	['Cerambycidae']	['Unknown']	['Elelea']	['Elelea concinna']											0.0	3.0	2.8801170587539677	1.0																								
802	IJUOZEBZJUUBNX	sirius	C=CC(=O)OCCOCCOCCOCCOCCOC(=O)C=C																																																																																												1.0	1.0	0.031	0.031	-149.689	0.865	0.5	79.174	C16H26O8	[M + H]+	C16H27O8+	InChI=1S/C16H26O8/c1-3-15(17)23-13-11-21-9-7-19-5-6-20-8-10-22-12-14-24-16(18)4-2/h3-4H,1-2,5-14H2	3,6,9,12-Tetraoxatetradecane-1,14-diyl diacrylate	C=CC(=O)OCCOCCOCCOCCOCCOC(=O)C=C	0.6	100995	NORMAN:(NS00034118);PUBCHEM:(100995);DSSTox:(DTXSID90207985)	137439215618.0	347.17	254.0	4.236	7.07666879916169e+17	7.076665188662638e+17	
803	IVWJMPAYYVHQPT	sirius	CC(=CCCC(C)(C=C)O)C(=O)OC1C(C(C(C(O1)CO)O)O)O																																																																																												1.0	1.0	0.098	0.098	-179.057	0.937	0.57	22.671	C16H26O8	[M + Na]+	C16H26NaO8+	InChI=1S/C16H26O8/c1-4-16(3,22)7-5-6-9(2)14(21)24-15-13(20)12(19)11(18)10(8-17)23-15/h4,6,10-13,15,17-20,22H,1,5,7-8H2,2-3H3	3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl 6-hydroxy-2,6-dimethylocta-2,7-dienoate	CC(=CCCC(C)(C=C)O)C(=O)OC1C(C(C(C(O1)CO)O)O)O	-0.4	155518504;163032738;101949668;131751869	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0311731);HMDB:(HMDB0035822);TeroMol:(TKC205914 TKC020063);CHEBI:(168640);SUPERNATURAL:(SN0156642);FooDB:(FDB014584);PUBCHEM:(155518504 163032738 101949668 131751869);DSSTox:(DTXSID701165341);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	138037690474.0	369.152	254.0	4.236	7.07666881858132e+17	7.076665188914298e+17	
804	DFLZEWKMJGFTBE	isdb	C=C[C@](C)(COC(=O)/C(C)=C\C)OO																																													144.0	Terpenoids	0.375	Monoterpenoids	0.25	Acyclic monoterpenoids	0.25	7.0	0.456916	ISDB	http://www.wikidata.org/entity/Q104977986	DFLZEWKMJGFTBE-DAGBOUIGSA-N	InChI=1S/C10H16O4/c1-5-8(3)9(11)13-7-10(4,6-2)14-12/h5-6,12H,2,7H2,1,3-4H3/b8-5-/t10-/m1/s1	C=C[C@](C)(COC(=O)/C(C)=C\C)OO	C10H16O4		200.104858992	[(2R)-2-hydroperoxy-2-methylbut-3-enyl] (Z)-2-methylbut-2-enoate	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	http://www.wikidata.org/entity/Q5723577	Chamaemelum nobile	472684.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Chamaemelum']	['Chamaemelum nobile']											0.0	3.0	3.327664017677307	1.0																								
804	SEFYJVFBMNOLBK	sirius	C1C(O1)COCCOCCOCC2CO2																																																																																												1.0	1.0	0.017	0.017	-98.537	0.692	0.5	91.171	C10H18O5	[M - H2O + H]+	C10H17O4+	InChI=1S/C10H18O5/c1(3-12-5-9-7-14-9)11-2-4-13-6-10-8-15-10/h9-10H,1-8H2	Diethylene glycol diglycidyl ether	C1C(O1)COCCOCCOCC2CO2	-0.8	76972342;76972343;76972344;351024	NORMAN:(NS00049681);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(76972342 76972343 76972344 351024);DSSTox:(DTXSID70960086)	137506324482.0	201.113	254.0	4.236	7.076668651270515e+17	7.076665189124013e+17	
805	KPGXRSRHYNQIFN	isdb	O=C(O)CCC(=O)C(=O)O																																													41.0	Fatty acids	0.55	Fatty Acids and Conjugates	0.55	Dicarboxylic acids	0.55	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q306140	KPGXRSRHYNQIFN-UHFFFAOYSA-N	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	O=C(O)CCC(=O)C(=O)O	C5H6O5	pos_1_minus1proton2sodium	146.021523292	Hydron;2-oxopentanedioate	Fatty acids	Fatty Acids and Conjugates	Dicarboxylic acids	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']	9.0	3.0	10.5	1.0																								
805	PKBZKRDRVZZFTI	sirius	CC(=O)C1=NC=C(S1)S(N)(O)O																																																																																												1.0	1.0	0.156	0.156	-132.592	1.0	0.0	24.401	C5H8N2O3S2	[M - H2O + H]+	C5H7N2O2S2+	InChI=1S/C5H8N2O3S2/c1-3(8)5-7-2-4(11-5)12(6,9)10/h2,9-10H,6H2,1H3	1-[5-[Amino(dihydroxy)-lambda4-sulfanyl]-1,3-thiazol-2-yl]ethanone	CC(=O)C1=NC=C(S1)S(N)(O)O	0.1	153590492	PUBCHEM:(153590492)	2.0	190.994	257.0	4.284	7.07666887063264e+17	7.076665189375671e+17	
806	XQZVZULJKVALRI	gnps|isdb	C[S+]([O-])CCCCCCN=C=S	CCMSLIB00012331450	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.949828	2353900.0	0.0	1.03667	6.0	0.000213623	206.067	1.0	temp/spectra_filtered.mgf806	1.0	Hesperin (Chimeric precursor selection)	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M+H]+	206.067	205.06	1.0			C[S+]([O-])CCCCCCN=C=S	InChI=1S/C8H15NOS2/c1-12(10)7-5-3-2-4-6-9-8-11/h2-7H2,1H3	XQZVZULJKVALRI-UHFFFAOYSA-N	1.0	Positive	MSNLIB-POSITIVE	206.067	UPDATE-SINGLE-ANNOTATED-GOLD	Gold			XQZVZULJKVALRI-UHFFFAOYSA-N							mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012331450	46.0	Alkaloids	0.40625	Fatty acyls	0.28125	Fatty alcohols	0.15625	1.0	0.67375845	ISDB	http://www.wikidata.org/entity/Q27999998	XQZVZULJKVALRI-UHFFFAOYSA-N	InChI=1S/C8H15NOS2/c1-12(10)7-5-3-2-4-6-9-8-11/h2-7H2,1H3	C[S+]([O-])CCCCCCN=C=S	C8H15NOS2		205.0595061	1-Isothiocyanato-6-(methylsulfinyl)hexane				http://www.wikidata.org/entity/Q49855	Eutrema japonicum	185264.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Eutremeae']	['Eutrema']	['Eutrema japonicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6.0	0.0	8.69503378868103	1.0																								
806	ZTGVHIBRGQFXCN	sirius	CCCCC(=S=O)SCC#C																																																																																												1.0	1.0	0.228	0.228	-74.484	1.0	0.333	104.469	C8H12OS2	[M + H3N + H]+	C8H16NOS2+	InChI=1S/C8H12OS2/c1-3-5-6-8(11-9)10-7-4-2/h2H,3,5-7H2,1H3	1-(2-Propynylthio)-1-pentanethione oxide	CCCCC(=S=O)SCC#C	2.1	10397611	PUBCHEM:(10397611)	2.0	206.067	255.0	4.255	7.07666885108718e+17	7.076665189585386e+17	
807	DVFBBRGYRFXMCJ	isdb	CCCC(O)C(O)C=CC(=O)NCC(C)C																																													46.0	Alkaloids	0.40625	Fatty acyls	0.28125	Fatty alcohols	0.15625	1.0	0.3026178	ISDB	http://www.wikidata.org/entity/Q104989953	DVFBBRGYRFXMCJ-UHFFFAOYSA-N	InChI=1S/C12H23NO3/c1-4-5-10(14)11(15)6-7-12(16)13-8-9(2)3/h6-7,9-11,14-15H,4-5,8H2,1-3H3,(H,13,16)	CCCC(O)C(O)C=CC(=O)NCC(C)C	C12H23NO3		229.167793596	4,5-dihydroxy-N-(2-methylpropyl)oct-2-enamide				http://www.wikidata.org/entity/Q43084	Piper nigrum	472526.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Piperales']	['Piperaceae']	['Unknown']	['Piper']	['Piper nigrum']											0.0	0.0	1.2104711532592771	1.0																								
807	RPUNGFMSPXJEDK	sirius	C1CC(C(=O)C1)CCCCCCC(=O)O																																																																																												1.0	1.0	0.329	0.329	-89.862	1.0	0.333	165.875	C12H20O3	[M + H3N + H]+	C12H24NO3+	InChI=1S/C12H20O3/c13-11-8-5-7-10(11)6-3-1-2-4-9-12(14)15/h10H,1-9H2,(H,14,15)	7-(2-Oxocyclopentyl)heptanoic acid	C1CC(C(=O)C1)CCCCCCC(=O)O	2.3	98947	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);MESH:(98947);PUBCHEM:(98947);DSSTox:(DTXSID401303786)	137506062342.0	230.176	255.0	4.256	7.076668596492899e+17	7.076665189795101e+17	
808	CIGZZLYQLQLUQO	sirius	C(CC=CCCC=O)C=CCCC=O																																																																																												1.0	1.0	0.043	0.043	-90.856	1.0	0.333	216.44	C12H18O2	[M + H3N + H]+	C12H22NO2+	InChI=1S/C12H18O2/c13-11-9-7-5-3-1-2-4-6-8-10-12-14/h3-6,11-12H,1-2,7-10H2	4,8-Dodecadienedial	C(CC=CCCC=O)C=CCCC=O	1.6	6436428;5743517;85104	NORMAN:(NS00052066 NS00087588 NS00088639);PUBCHEM:(6436428 5743517 85104);DSSTox:(DTXSID301310435 DTXSID401315490 DTXSID901310833)	137439215618.0	212.165	255.0	4.256	7.076668642923849e+17	7.076665190004817e+17	
808	LWVOWKXWHFNTLO	isdb	CC1OC2CCCCC23CCC[N+]1([O-])C3																																													46.0	Alkaloids	0.40625	Fatty acyls	0.28125	Fatty alcohols	0.15625	1.0	0.6166025	ISDB	http://www.wikidata.org/entity/Q105158613	LWVOWKXWHFNTLO-UHFFFAOYSA-N	InChI=1S/C12H21NO2/c1-10-13(14)8-4-7-12(9-13)6-3-2-5-11(12)15-10/h10-11H,2-9H2,1H3	CC1OC2CCCCC23CCC[N+]1([O-])C3	C12H21NO2		211.157228912	8-Methyl-9-oxido-7-oxa-9-azoniatricyclo[7.3.1.01,6]tridecane	Alkaloids			http://www.wikidata.org/entity/Q10959221	Nitraria sibirica	84979.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Nitrariaceae']	['Unknown']	['Nitraria']	['Nitraria sibirica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4.0	1.0	6.966409921646118	1.0																								
809	VZOMLDYIAWPSDV	sirius	CCCCCCCCCC(CC)C(=O)O																																																																																												1.0	1.0	0.261	0.449	-131.72	0.706	0.5	61.538	C13H26O2	[M + H3N + H]+	C13H30NO2+	InChI=1S/C13H26O2/c1-3-5-6-7-8-9-10-11-12(4-2)13(14)15/h12H,3-11H2,1-2H3,(H,14,15)	(2R)-2-ethylundecanoic acid	CCCCCCCCCC(CC)C(=O)O	4.732	17949563;92179622;98459867;170754	NORMAN:(NS00057494);SUPERNATURAL:(SN0404358);PUBCHEM:(17949563 92179622 98459867 170754);DSSTox:(DTXSID80885892);LOTUS:(Q82864591)	137708699650.0	232.228	258.0	4.292	7.076668653241838e+17	7.076665190214532e+17	
